State,Victims (unique count) Age <1 ,Victims (unique count) Age 1,Victims (unique count) Age 2,Victims (unique count) Age 3,Victims (unique count) Age 4,Victims (unique count) Age 5,Victims (unique count) Age 6,Victims (unique count) Age 7,Victims (unique count) Age 8,Victims (unique count) Age 9,Victims (unique count) Age 10,Victims (unique count) Age 11,Victims (unique count) Age 12,Victims (unique count) Age 13,Victims (unique count) Age 14,Victims (unique count) Age 15,Victims (unique count) Age 16,Victims (unique count) Age 17,"Victims (unique count) Age Unborn, Unknown, and 18-21 ", Victims (unique count) Total  ,"Victims Age <1  
Rate per 1,000 Children","Victims Age 1 
Rate per 1,000 Children","Victims Age 2 
Rate per 1,000 Children","Victims Age 3 
Rate per 1,000 Children","Victims Age 4 
Rate per 1,000 Children","Victims Age 5 
Rate per 1,000 Children","Victims Age 6 
Rate per 1,000 Children","Victims Age 7 
Rate per 1,000 Children","Victims Age 8 
Rate per 1,000 Children","Victims Age 9 
Rate per 1,000 Children","Victims Age 10
Rate per 1,000 Children","Victims Age 11
Rate per 1,000 Children","Victims Age 12
Rate per 1,000 Children","Victims Age 13
Rate per 1,000 Children","Victims Age 14
Rate per 1,000 Children","Victims Age 15
Rate per 1,000 Children","Victims Age 16
Rate per 1,000 Children","Victims Age 17
Rate per 1,000 Children"
Alabama,"1,725",747,717,681,609,588,565,559,547,533,466,409,443,451,572,528,405,267,35,"10,847",29.8,12.7,12,11.5,10.5,9.9,9.5,9.4,9.1,8.5,7.5,6.6,7.2,7.3,9.3,8.6,6.2,4.1
Alaska,359,222,203,184,193,180,174,164,159,153,133,120,106,111,100,82,72,52,16,"2,783",32.3,20.5,19,17.2,18,17.2,16.3,15.8,15.6,14.8,13.1,12.1,10.6,11.4,10.3,8.5,7.4,5.2
Arizona,"2,525",650,657,573,523,517,463,499,449,413,400,358,335,327,346,332,328,200,14,"9,909",29.5,7.5,7.4,6.5,5.9,5.9,5.2,5.6,5,4.4,4.2,3.8,3.6,3.5,3.8,3.7,3.5,2.1
Arkansas,"1,921",571,547,570,535,497,498,416,424,399,390,349,357,366,444,407,329,229,85,"9,334",50.6,14.8,14.1,14.9,14.1,12.8,12.9,10.7,11,9.9,9.6,8.8,9,9.3,11.3,10.4,8.2,5.6
California,"10,616","4,411","4,123","3,970","3,632","3,688","3,623","3,530","3,430","3,298","3,063","2,859","2,745","2,802","2,596","2,588","2,397","1,925",46,"65,342",21.7,9,8.3,8,7.3,7.4,7.1,7.1,6.9,6.4,5.9,5.6,5.4,5.5,5.2,5.2,4.7,3.7
Colorado,"1,779",747,752,658,703,651,712,635,640,590,561,561,509,539,514,428,346,232,21,"11,578",26.4,11.2,11.1,9.8,10.5,9.6,10.3,9,9.1,8.2,7.7,7.7,7,7.4,7.1,6.1,4.9,3.3
Connecticut,"1,071",573,558,464,496,507,450,479,429,426,395,388,384,386,392,398,361,231,54,"8,442",30.4,16,14.9,12.5,13.2,13.2,11.4,12.1,10.7,10.2,9.2,9,8.7,8.6,8.7,8.7,7.7,4.8
Delaware,163,105,92,87,87,110,104,98,88,79,85,86,62,66,59,62,61,44,4,"1,542",14.9,9.6,8.3,7.9,8,9.8,9.1,8.7,7.8,6.9,7.4,7.4,5.4,5.7,5.1,5.4,5.2,3.7
District of Columbia,191,100,95,105,92,120,102,114,99,84,75,69,73,73,64,78,71,33,1,"1,639",19.4,10.8,10.5,12.7,10.8,14.4,12.8,16.4,15.2,13.2,12.2,12.2,13.5,13.9,12.5,15.5,13.4,6.1
Florida,"6,314","3,285","3,090","2,733","2,527","2,378","2,237","2,149","2,129","1,920","1,730","1,524","1,474","1,385","1,439","1,362","1,305",964,158,"40,103",28,14.4,13.5,11.9,11.2,10.4,9.7,9.5,9.3,8.1,7.2,6.4,6.2,5.9,6.3,5.8,5.3,3.9
