State,2013 Total Child Fatalities,2014 Total Child Fatalities,2015 Total Child Fatalities,2016 Total Child Fatalities,2017 Total Child Fatalities
Alabama,32,17,13,26,28
Alaska,1,3,5,1,2
Arizona,51,40,51,48,35
Arkansas,29,21,40,42,37
California,139,134,127,137,147
Colorado,21,20,19,37,35
Connecticut,5,13,11,5,11
Delaware,6,5,1,0,4
District of Columbia,3,3,3,3,4
Florida,121,138,124,110,101
Georgia,90,102,113,97,94
Hawaii,5,2,4,4,4
Idaho,5,4,6,3,10
Illinois,93,100,77,64,74
Indiana,28,49,34,70,78
Iowa,5,8,12,12,19
Kansas,7,13,8,10,14
Kentucky,23,15,16,15,10
Louisiana,43,31,39,41,25
Maine,-,-,-,-,-
Maryland,27,24,28,32,41
Massachusetts,30,26,-,-,-
Michigan,59,76,83,85,51
Minnesota,18,15,17,28,24
Mississippi,12,22,35,41,40
Missouri,39,36,35,29,33
Montana,1,4,2,0,4
Nebraska,6,5,3,7,1
Nevada,10,15,13,13,21
New Hampshire,3,1,4,4,2
New Jersey,18,9,23,21,13
New Mexico,7,7,14,11,16
New York,107,114,108,95,127
North Carolina,29,25,-,32,18
North Dakota,1,3,3,4,1
Ohio,48,51,74,66,73
Oklahoma,43,34,31,31,21
Oregon,10,13,27,19,30
Pennsylvania,34,34,31,47,42
Puerto Rico,10,11,7,-,6
Rhode Island,1,6,0,4,5
South Carolina,28,41,25,22,28
South Dakota,5,4,11,4,5
Tennessee,40,28,32,41,43
Texas,150,153,162,217,186
Utah,7,15,6,12,13
Vermont,0,1,3,0,0
Virginia,33,37,54,45,41
Washington,27,19,27,15,18
West Virginia,17,19,9,20,18
Wisconsin,21,18,17,25,31
Wyoming,0,1,2,4,4
National,"1,548","1,585","1,589","1,699","1,688"
