State,2013 Victims (unique count),2014 Victims (unique count),2015 Victims (unique count),2016 Victims (unique count),2017 Victims (unique count),Percent Change from 2013 to 2017,"2013 Victims Rate per 1,000 Children","2014 Victims Rate per 1,000 Children","2015 Victims Rate per 1,000 Children","2016 Victims Rate per 1,000 Children","2017 Victims Rate per 1,000 Children"
Alabama,"8,809","8,697","8,466","10,157","10,847",23.1,7.9,7.9,7.7,9.2,9.9
Alaska,"2,448","2,484","2,898","3,142","2,783",13.7,13,13.3,15.6,16.9,15
Arizona,"13,169","13,877","11,955","10,841","9,909",-24.8,8.2,8.6,7.4,6.7,6.1
Arkansas,"10,370","8,971","9,204","9,707","9,334",-10,14.6,12.7,13,13.8,13.2
California,"75,641","75,033","72,000","68,663","65,342",-13.6,8.3,8.2,7.9,7.6,7.2
Colorado,"10,161","9,979","10,100","11,226","11,578",13.9,8.2,8,8.1,8.9,9.2
Connecticut,"7,287","7,651","6,930","7,903","8,442",15.9,9.3,9.9,9.1,10.5,11.3
Delaware,"1,915","1,482","1,538","1,572","1,542",-19.5,9.4,7.3,7.5,7.7,7.5
District of Columbia,"2,050","1,528","1,348","1,366","1,639",-20,18.4,13.3,11.4,11.3,13.2
Florida,"48,457","45,738","43,775","41,894","40,103",-17.2,12,11.3,10.7,10.1,9.5
Georgia,"19,062","22,163","26,952","21,635","10,487",-45,7.7,8.9,10.8,8.6,4.2
Hawaii,"1,324","1,331","1,506","1,491","1,280",-3.3,4.3,4.3,4.9,4.9,4.2
Idaho,"1,674","1,595","1,623","1,847","1,832",9.4,3.9,3.7,3.7,4.2,4.1
Illinois,"18,465","25,597","29,993","29,059","28,751",55.7,6.1,8.6,10.1,9.9,9.9
Indiana,"21,755","23,334","26,397","28,430","29,198",34.2,13.7,14.8,16.7,18.1,18.6
Iowa,"11,345","8,071","7,877","8,555","10,643",-6.2,15.6,11.1,10.8,11.7,14.5
Kansas,"2,063","1,998","1,992","2,403","4,153",101.3,2.8,2.8,2.8,3.4,5.8
Kentucky,"17,591","17,932","18,897","20,010","22,410",27.4,17.3,17.7,18.7,19.8,22.2
Louisiana,"10,119","12,057","12,631","11,289","10,356",2.3,9.1,10.8,11.3,10.1,9.3
Maine,"3,820","3,823","3,372","3,446","3,475",-9,14.6,14.8,13.2,13.6,13.8
Maryland,"12,169","9,119","6,790","6,993","7,578",-37.7,9,6.8,5,5.2,5.6
Massachusetts,"20,307","31,863","31,089","32,093","25,092",23.6,14.5,22.9,22.5,23.3,18.3
Michigan,"33,938","30,705","34,729","37,293","38,064",12.2,15.1,13.8,15.7,17,17.5
Minnesota,"4,183","4,143","5,120","7,941","8,709",108.2,3.3,3.2,4,6.2,6.7
Mississippi,"7,415","8,435","8,730","10,179","10,429",40.6,10.1,11.5,12,14.1,14.6
Missouri,"5,224","5,322","5,699","5,481","4,585",-12.2,3.7,3.8,4.1,4,3.3
Montana,"1,414","1,191","1,868","3,116","3,534",149.9,6.3,5.3,8.3,13.7,15.4
Nebraska,"3,993","3,940","3,483","2,783","3,246",-18.7,8.6,8.4,7.4,5.9,6.8
Nevada,"5,438","4,589","4,953","4,885","4,859",-10.6,8.3,6.9,7.4,7.2,7.1
New Hampshire,822,646,745,905,"1,148",39.7,3,2.4,2.8,3.5,4.4
New Jersey,"9,490","11,586","9,689","8,264","6,698",-29.4,4.7,5.8,4.8,4.2,3.4
New Mexico,"6,530","7,606","8,701","7,526","8,577",31.3,12.9,15.1,17.5,15.3,17.6
New York,"64,578","65,042","66,676","65,123","71,226",10.3,15.2,15.4,15.8,15.6,17.1
North Carolina,"7,823","8,414","7,857","7,134","7,392",-5.5,3.4,3.7,3.4,3.1,3.2
North Dakota,"1,517","1,612","1,760","1,805","1,981",30.6,9.3,9.6,10.1,10.3,11.3
Ohio,"27,562","24,936","23,006","23,635","24,897",-9.7,10.4,9.4,8.8,9,9.6
Oklahoma,"11,553","13,183","14,449","14,308","14,457",25.1,12.2,13.8,15,14.9,15.1
Oregon,"10,280","10,088","10,428","11,851","11,070",7.7,12,11.7,12.1,13.6,12.7
Pennsylvania,"3,260","3,262","3,629","4,355","4,625",41.9,1.2,1.2,1.3,1.6,1.7
Puerto Rico,"8,850","7,683","6,950",-,"5,729",-35.3,11,10,9.5,-,8.7
Rhode Island,"3,132","3,410","3,183","2,955","3,095",-1.2,14.6,16.1,15.1,14.2,14.9
South Carolina,"10,404","12,439","14,856","17,331","17,071",64.1,9.7,11.5,13.6,15.8,15.5
South Dakota,984,886,"1,073","1,246","1,339",36.1,4.7,4.2,5.1,5.8,6.2
Tennessee,"10,377","11,695","11,362","9,665","8,983",-13.4,7,7.8,7.6,6.4,6
Texas,"64,603","65,334","63,781","57,374","61,506",-4.8,9.2,9.2,8.8,7.9,8.3
Utah,"9,306","9,876","9,569","9,614","9,947",6.9,10.4,10.9,10.5,10.5,10.7
Vermont,746,813,921,822,878,17.7,6.1,6.7,7.7,7,7.5
Virginia,"5,863","6,464","6,112","5,941","6,277",7.1,3.1,3.5,3.3,3.2,3.4
Washington,"7,132","7,341","5,894","4,725","4,386",-38.5,4.5,4.6,3.7,2.9,2.7
West Virginia,"4,695","4,962","4,857","5,938","6,496",38.4,12.3,13,12.8,15.9,17.6
Wisconsin,"4,526","4,642","4,840","4,822","4,902",8.3,3.5,3.6,3.7,3.7,3.8
Wyoming,720,861,968,977,950,31.9,5.2,6.2,6.9,7,7
Total,"656,359","675,429","683,221","671,716","673,830",N/A,8.8,9.1,9.2,9.1,9.1
